epoch,accuracy,loss,val_accuracy,val_loss
0,0.85000235,0.3372971237441659,0.9480755,0.15619013241391275
1,0.87724996,0.28113836278078325,0.9439609,0.155242415491936
2,0.8855433,0.26393968468356055,0.9484311,0.14497050855993046
3,0.8900636,0.2542519751221608,0.94766337,0.14369519273451392
4,0.8931471,0.24778863285725827,0.94759977,0.13965224171073598
5,0.89556754,0.24264974647143076,0.94250906,0.1497771965080708
6,0.89770395,0.23805213400230874,0.9445894,0.14521476669482075
7,0.89984494,0.23376606741046696,0.946383,0.14052340801416174
8,0.90176463,0.22974818635410335,0.947406,0.13823317981978003
9,0.9036387,0.22603953491363,0.94504756,0.14353503648094573
10,0.90524864,0.2226262689313541,0.94243944,0.14913644230645595
11,0.9067281,0.21943052530889257,0.949804,0.13289320457001674
12,0.9081402,0.21655825961265002,0.94223946,0.14831990982966697
13,0.90933967,0.21381412775347822,0.9417522,0.15151078631570947
14,0.9105547,0.2113137308742679,0.94303143,0.14781577002364155
15,0.91169614,0.2089661070770122,0.9432899,0.14754121777911247
16,0.9187187,0.19484748602925694,0.939088,0.15677373996420255
17,0.92023396,0.19178432763942743,0.9391308,0.15611272233728352
18,0.9210642,0.19025236326617748,0.93993944,0.15579518205898837
19,0.92154837,0.18909392293244534,0.9392357,0.1576336684264694
