epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.84647256,0.34090790990596076,0.945934534072876,0.8447472837591501,0.1485011165742999
1,0.8611172,0.31232653234047203,0.9257521629333496,0.858340589621141,0.18416567678242549
2,0.86606985,0.3036990459802174,0.9413331747055054,0.8635911596862258,0.15954290449423783
3,0.86869276,0.2990263803599324,0.9343729615211487,0.8709023831407706,0.1650358262217424
4,0.8718952,0.2942262135450036,0.9395332932472229,0.8599701511015224,0.1506881339903949
5,0.8808474,0.27472649822994305,0.9247997403144836,0.8788743092862202,0.18065066654141143
6,0.8836669,0.2697909015162971,0.9362990260124207,0.8787586388578734,0.1595049133731821
7,0.8877706,0.2626914049020689,0.9404119253158569,0.8794580647071855,0.14945811447602397
8,0.89248186,0.2537869813717614,0.9251571297645569,0.8790272227328466,0.18333839380089495
9,0.90110457,0.2357732586596515,0.939182460308075,0.8798275979502883,0.15058260036174537
10,0.9031352,0.2320512784263774,0.9351253509521484,0.8773889560378091,0.15917451103293503
11,0.90458083,0.22910663956301205,0.9341335892677307,0.8815762746534642,0.16069093156649547
12,0.90598017,0.22642496287824582,0.9295814633369446,0.8802717551533443,0.1729039898706394
