epoch,accuracy,loss,val_accuracy,val_loss
0,0.84843594,0.33935692526135597,0.9430078,0.1649952733549903
1,0.87039477,0.29344180817710913,0.9448055,0.1529235325394741
2,0.8757278,0.28218121848988503,0.94765687,0.14427303642215716
3,0.87830895,0.2771008278714696,0.94564545,0.14863051176166525
4,0.88002306,0.2738813212619697,0.94475293,0.15039945102875862
5,0.88121194,0.2713840455078957,0.94323033,0.1502422574786213
6,0.8823209,0.26932438576541895,0.94607824,0.14537430948459049
7,0.8861498,0.2617611472837039,0.9462454,0.1444583755883276
8,0.88698596,0.260155025471969,0.94627845,0.14385169043543064
9,0.8872563,0.2594329540566496,0.94581467,0.14347846977293835
10,0.887612,0.2588861173838933,0.9458141,0.1442391227132071
11,0.8878802,0.25842167905495494,0.94389266,0.1471552237012817
12,0.88802445,0.25800389579343663,0.9424973,0.14989752045393281
13,0.88825613,0.25761342798265874,0.9457539,0.1429816370369415
14,0.8884023,0.2572624635504976,0.941651,0.1517717352053123
15,0.8886209,0.2569199980987198,0.94463724,0.14482988234253974
16,0.88875926,0.25659172221464427,0.943051,0.14898658487745
17,0.8889673,0.25630231835405703,0.9401766,0.1540313586525089
18,0.8904579,0.2533282929572366,0.9426063,0.14924387767188738
19,0.89056355,0.2530886516775618,0.943023,0.14788391072110302
