epoch,accuracy,loss,val_accuracy,val_auc,val_logloss,val_loss,val_rmse
0,0.83796155,0.35746993130565874,0.9385923743247986,0.8339198308614975,0.19124702381210823,0.19124702325868748,0.2330505495792833
1,0.85416865,0.32422939958264235,0.9482212662696838,0.8550045317295101,0.16614441625833634,0.16614441289250118,0.21586177025579065
2,0.86403054,0.30609874669846954,0.919327974319458,0.8657596547747269,0.14955736986242857,0.14955737125578142,0.2115664647178542
3,0.8690808,0.2957716313081922,0.9446837902069092,0.8729858326898736,0.16230518369701807,0.16230518314160397,0.22225176340008967
4,0.8719544,0.2905692548556867,0.9531668424606323,0.8750927222239283,0.16915967077289837,0.16915966800607934,0.21506975093903202
5,0.8739671,0.2870990674124885,0.9265767335891724,0.8752554397480418,0.1597339338429082,0.15973393850448922,0.21623683088702092
6,0.8757964,0.2853408553776147,0.9325058460235596,0.8760788282927771,0.16881139502388232,0.16881140249026722,0.22321263283899426
7,0.88324136,0.26909637489638516,0.9307141304016113,0.8812177405954341,0.1632631914617631,0.16326318663181488,0.2210937725802011
8,0.88600147,0.2638618819361708,0.9376940727233887,0.8821536015554907,0.13512473201311465,0.13512473269291211,0.20163282816343006
9,0.8874344,0.26126162967181155,0.9440739750862122,0.8824388657980693,0.13298203671769945,0.1329820357920335,0.19708695099600881
10,0.8884423,0.2593182140934331,0.9286323189735413,0.8832441020611185,0.17140181946255156,0.1714018104576449,0.22472511373816426
11,0.8892325,0.25788368105116877,0.937192440032959,0.8831456011759957,0.13456197154162228,0.1345619709794118,0.2017978594964583
12,0.88988394,0.2566476226662109,0.9275389313697815,0.8828589507073304,0.15602043376172495,0.15602043920951855,0.2166981009829706
13,0.8904528,0.25565101322705297,0.9329894185066223,0.8833433757833941,0.15598688160342675,0.15598688779292855,0.21690844454104963
14,0.89321715,0.24972818419764822,0.9331156611442566,0.8834160483878044,0.14868491839972822,0.14868491077227491,0.21149441311651485
15,0.89371467,0.2488561083146278,0.9337319731712341,0.8822085068572331,0.15083575725780587,0.1508357547757729,0.21200831221233568
16,0.8939985,0.24839163195156225,0.9300994277000427,0.88296127985781,0.15852928372484767,0.15852928540604855,0.2180348590654148
17,0.89429784,0.2480055885746053,0.9318026304244995,0.8831202576836767,0.1579945185980991,0.15799451421084112,0.21646086636051562
18,0.89536667,0.2457316867096006,0.9321271777153015,0.883158723092599,0.1543186197938626,0.15431861161985713,0.21447328642995417
19,0.89554715,0.24551040718039002,0.9326271414756775,0.8831148128629057,0.15322961194447118,0.15322961366512344,0.2135686003171016
