epoch,accuracy,loss,val_accuracy,val_loss
0,0.8570223,0.3218686994357429,0.9391341,0.16958171811009085
1,0.8802228,0.2743750946937043,0.94100994,0.1550324134645083
2,0.8857949,0.2626554756948925,0.94115067,0.15225000463495192
3,0.889209,0.25585286037476607,0.945404,0.14038968130294852
4,0.8917277,0.25079806704311935,0.93724173,0.15881292546111228
5,0.89395064,0.24658848286855187,0.94049007,0.15137085828007452
6,0.8957368,0.24296215517612535,0.94240063,0.1470617109229233
7,0.8972597,0.23972512518260244,0.9442649,0.1454609915768074
8,0.90362483,0.2272592886210165,0.9404404,0.15021984827281623
9,0.9051618,0.2241684508507681,0.9367053,0.15873050826353743
10,0.9060029,0.2225160365793938,0.9374851,0.15845030468426002
11,0.9067798,0.2212261851618905,0.9430149,0.14489812063223478
12,0.9094522,0.21569739697391035,0.94012254,0.15229273455111397
13,0.9098375,0.21495979804411836,0.94000995,0.1523534672773437
14,0.91015047,0.21444353952454148,0.9405497,0.15079459088764444
15,0.9103535,0.21399058698287657,0.9383278,0.15658690625231786
